Month,County,Sales,Year,Population,Sales per capita
2015-12-01,Pitkin,895847.0,2015,17845,50.20156906696554
2015-12-01,Pueblo,1530280.0,2015,163196,9.376945513370426
2015-12-01,Routt,655561.0,2015,24310,26.96672151378034
2016-01-01,Adams,2544485.0,2016,497673,5.112764807413703
2016-01-01,Arapahoe,5949573.0,2016,637254,9.336266229792201
2016-01-01,Boulder,4499880.0,2016,321989,13.975260024410773
2016-01-01,Chaffee,268240.0,2016,19097,14.046185264701261
2016-01-01,Clear Creek,550192.0,2016,9443,58.26453457587631
2016-01-01,Denver,18969263.0,2016,693292,27.3611450874956
2016-01-01,Eagle,1214652.0,2016,53928,22.523587004895415
2016-01-01,Garfield,821090.0,2016,58984,13.920554726705546
2016-01-01,Gilpin,136475.0,2016,5926,23.029868376645293
2016-01-01,Grand,287813.0,2016,15039,19.137775118026465
2016-01-01,Gunnison,400086.0,2016,16394,24.404416249847504
2016-01-01,Jefferson,3020022.0,2016,571711,5.282427660128981
2016-01-01,La Plata,1396817.0,2016,55697,25.078855234572778
2016-01-01,Larimer,2708125.0,2016,338663,7.996518663095761
2016-01-01,Las Animas,922872.0,2016,14082,65.53557733276523
2016-01-01,Montezuma,532773.0,2016,26906,19.80127109194975
2016-01-01,Park,187006.0,2016,17285,10.81897599074342
2016-01-01,Pitkin,1008558.0,2016,17773,56.74663815900523
2016-01-01,Pueblo,1466234.0,2016,165109,8.880400220460423
2016-01-01,Routt,792416.0,2016,24679,32.10891851371611
2016-02-01,Adams,2597102.0,2016,497673,5.218490856445899
2016-02-01,Arapahoe,6229934.0,2016,637254,9.77621796018542
2016-02-01,Boulder,4477304.0,2016,321989,13.905145827963066
2016-02-01,Chaffee,281840.0,2016,19097,14.758339006126617
2016-02-01,Clear Creek,535811.0,2016,9443,56.741607539976705
2016-02-01,Conejos,163449.0,2016,8039,20.332006468466226
2016-02-01,Costilla,153417.0,2016,3707,41.38575667655786
2016-02-01,Denver,19129746.0,2016,693292,27.592624752629483
2016-02-01,Eagle,1176777.0,2016,53928,21.82126168224299
2016-02-01,Garfield,860185.0,2016,58984,14.583361589583616
2016-02-01,Gilpin,172887.0,2016,5926,29.174316571042862
2016-02-01,Grand,279018.0,2016,15039,18.552962298025136
2016-02-01,Gunnison,413264.0,2016,16394,25.208246919604733
2016-02-01,Jefferson,2970642.0,2016,571711,5.196055349643439
2016-02-01,La Plata,1484507.0,2016,55697,26.653266782771066
2016-02-01,Larimer,2878307.0,2016,338663,8.499030009183171
2016-02-01,Las Animas,1012648.0,2016,14082,71.91080812384604
2016-02-01,Montezuma,600808.0,2016,26906,22.32988924403479
2016-02-01,Park,176302.0,2016,17285,10.199710731848423
2016-02-01,Pitkin,964350.0,2016,17773,54.259269678726156
2016-02-01,Pueblo,1686427.0,2016,165109,10.214022251966883
2016-02-01,Routt,772020.0,2016,24679,31.282466874670774
2016-03-01,Adams,2909379.0,2016,497673,5.845965121676281
2016-03-01,Arapahoe,7112616.0,2016,637254,11.161351674528524
2016-03-01,Boulder,5138199.0,2016,321989,15.957684889856486
2016-03-01,Chaffee,350973.0,2016,19097,18.378436403623606
2016-03-01,Clear Creek,561094.0,2016,9443,59.41904055914434
2016-03-01,Conejos,211950.0,2016,8039,26.36521955467098
2016-03-01,Costilla,195952.0,2016,3707,52.85999460480173
2016-03-01,Denver,21459311.0,2016,693292,30.952774588485084
2016-03-01,Eagle,1283537.0,2016,53928,23.80093828808782
2016-03-01,Garfield,1095523.0,2016,58984,18.57322324698223
2016-03-01,Gilpin,188204.0,2016,5926,31.759028012149848
2016-03-01,Grand,360353.0,2016,15039,23.961234124609348
2016-03-01,Gunnison,490823.0,2016,16394,29.939185067707697
2016-03-01,Jefferson,3327498.0,2016,571711,5.82024484398586
2016-03-01,La Plata,1679875.0,2016,55697,30.160960195342657
2016-03-01,Larimer,3197373.0,2016,338663,9.441164225203226
2016-03-01,Las Animas,1284687.0,2016,14082,91.22901576480614
2016-03-01,Montezuma,728890.0,2016,26906,27.090240095146065
2016-03-01,Park,229022.0,2016,17285,13.24975412207116
2016-03-01,Pitkin,1082334.0,2016,17773,60.89765374444382
2016-03-01,Pueblo,2074591.0,2016,165109,12.564978287070966
2016-03-01,Routt,759132.0,2016,24679,30.760241500871185
2016-04-01,Adams,3187313.0,2016,497673,6.404432227587191
2016-04-01,Arapahoe,7531661.0,2016,637254,11.81893091294837
2016-04-01,Boulder,5082136.0,2016,321989,15.783570246188534
2016-04-01,Chaffee,300638.0,2016,19097,15.742682096664398
